Shortcut,Windows,Descriptions,Issue
Alt+A,book_details; collection_window; import_detail_window; import_progress_window; import_window; name_list_window; preferences_window,Active checkbox | Add | Author | Author Fallback,Same shortcut has different meanings across windows
Alt+B,backup_restore_window; book_details; collection_window; import_detail_window; import_progress_window; import_window; main_window; name_list_window; preferences_window; update_window,Bitrate | Book list | Books added | Browse | Create backup | Jump to list | import Book list,Same shortcut has different meanings across windows
Alt+C,backup_restore_window; book_details; collection_window; import_detail_window; import_progress_window; import_window; main_window; name_list_window; preferences_window; update_window,Cancel | Close | Close (on completion) | Close window | Collection | Collection filter,Same shortcut has different meanings across windows
Alt+D,backup_restore_window; book_details; collection_window; import_detail_window; main_window; preferences_window,Delete | Delete selected | Delete selected backup | Directory | Discard,Same shortcut has different meanings across windows
Alt+E,book_details; collection_window; import_detail_window; import_window; name_list_window,Edit selected row | Error filter | Errors | Read date,Same shortcut has different meanings across windows
Alt+F,backup_restore_window; book_details; import_detail_window; import_progress_window; import_window; name_list_window; preferences_window,Files | Files scanned | Find | Flip Author | Flip author name | Folder | Full reset,Same shortcut has different meanings across windows
Alt+I,book_details; import_detail_window; import_progress_window; import_window; preferences_window,Add selected | Import | Issues | Series | Title Fallback,Same shortcut has different meanings across windows
Alt+K,book_details; preferences_window,Collection | Reader Keywords,Same shortcut has different meanings across windows
Alt+L,backup_restore_window; book_details; collection_window; import_detail_window; import_progress_window; import_window; main_window; name_list_window; preferences_window; update_window,Backup list | Cancel | Cancel edit/new | Cancel scan | Cancel selection | Close window | Collection | Launch tag editor | Proper case fields,Same shortcut has different meanings across windows
Alt+M,book_details; collection_window; import_detail_window; import_progress_window; import_window; name_list_window,Elapsed time | Menu | Name edit | Time,Same shortcut has different meanings across windows
Alt+N,book_details; collection_window; import_window,Cancel scan (when running) | New | New book,Same shortcut has different meanings across windows
Alt+O,backup_restore_window; book_details; import_detail_window; main_window; preferences_window,Browse for restore file | Comments | Formats | Order by,Same shortcut has different meanings across windows
Alt+P,import_window; preferences_window,Parse errors | Preset,Same shortcut has different meanings across windows
Alt+R,backup_restore_window; book_details; import_detail_window; import_progress_window; import_window; main_window; preferences_window,Read errors | Read filter | Reader | Run restore from selected backup | Scenario Description,Same shortcut has different meanings across windows
Alt+S,book_details; collection_window; import_detail_window; import_window; main_window; name_list_window; preferences_window; update_window,Import list count | Save | Scan | Scenario | Search | Series,Same shortcut has different meanings across windows
Alt+T,backup_restore_window; book_details; import_detail_window; import_progress_window; import_window; preferences_window,Elapsed time | Focus restore file | Theme | Title,Same shortcut has different meanings across windows
Alt+V,import_window; preferences_window,Save | View,Same shortcut has different meanings across windows
Alt+W,import_window; preferences_window,Browse | Trim whitespace,Same shortcut has different meanings across windows
Alt+Z,book_details; import_detail_window; preferences_window,Size | Zoom,Same shortcut has different meanings across windows
